time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID,demand_count
2023-01-12 01:00:00,1.0,1.53,7.0,51.0,42.0,1.0
2023-01-12 02:00:00,1.0,11.0,23.0,250.0,229.0,1.0
2023-01-12 03:00:00,1.0,11.0,23.0,51.0,42.0,1.0
2023-01-12 04:00:00,1.0,15.765,31.5,18.0,87.0,6.0
2023-01-12 05:00:00,1.0,14.350000000000001,38.5,51.0,29.0,6.0
2023-01-12 06:00:00,1.0,12.2,33.0,213.0,134.0,7.0
2023-01-12 07:00:00,1.0,7.05,35.5,51.0,209.0,6.0
2023-01-12 08:00:00,1.0,7.2,43.0,208.0,42.0,9.0
2023-01-12 09:00:00,1.0,5.965,27.5,18.0,75.0,10.0
2023-01-12 10:00:00,1.0,3.2,31.0,51.0,51.0,9.0
2023-01-12 11:00:00,1.0,6.050000000000001,34.5,51.0,25.0,14.0
2023-01-12 12:00:00,1.0,5.85,31.0,51.0,51.0,6.0
2023-01-12 13:00:00,1.0,12.4,39.0,136.0,39.0,5.0
2023-01-12 14:00:00,1.0,2.03,16.0,69.0,134.0,5.0
2023-01-12 15:00:00,1.0,1.7,18.0,147.0,10.0,5.0
2023-01-12 16:00:00,1.0,5.95,23.0,51.0,42.0,2.0
2023-01-12 17:00:00,1.0,4.4,37.0,3.0,81.0,3.0
2023-01-12 18:00:00,1.0,12.7,48.0,168.0,216.0,1.0
2023-01-12 19:00:00,1.0,9.15,26.0,69.0,69.0,2.0
2023-01-12 20:00:00,1.0,9.15,26.0,51.0,42.0,2.0
2023-01-12 21:00:00,1.0,4.37,18.5,69.0,119.0,2.0
2023-01-12 22:00:00,1.0,11.5,0.0,60.0,60.0,1.0
2023-01-12 23:00:00,1.0,10.07,23.0,247.0,46.0,2.0
2023-01-13 00:00:00,1.0,10.07,23.0,51.0,42.0,2.0
2023-01-13 01:00:00,1.0,20.88,41.0,159.0,108.0,1.0
2023-01-13 02:00:00,1.0,20.88,41.0,51.0,42.0,1.0
2023-01-13 03:00:00,1.0,20.88,41.0,51.0,42.0,1.0
2023-01-13 04:00:00,1.0,20.88,41.0,51.0,42.0,1.0
2023-01-13 05:00:00,1.0,7.365,27.0,182.0,137.0,4.0
2023-01-13 06:00:00,1.0,10.16,32.5,235.0,39.0,4.0
2023-01-13 07:00:00,1.0,16.4,48.0,212.0,228.0,1.0
2023-01-13 08:00:00,1.0,6.3,39.0,182.0,75.0,1.0
2023-01-13 09:00:00,1.0,10.2,33.0,247.0,45.0,5.0
2023-01-13 10:00:00,1.0,6.56,30.0,242.0,41.0,11.0
2023-01-13 11:00:00,1.0,3.7,19.0,242.0,42.0,7.0
2023-01-13 12:00:00,1.0,5.9,25.0,31.0,5.0,5.0
2023-01-13 13:00:00,1.0,8.9,41.0,47.0,3.0,9.0
2023-01-13 14:00:00,1.0,2.16,14.5,167.0,69.0,6.0
2023-01-13 15:00:00,1.0,20.3,78.0,235.0,39.0,3.0
